Date,PRCP,SNOW,099AX,099IN,99EAN,HDD1,CDD1
5/19/1980,0.21,0,69,55,62,3,0
5/20/1980,0,0,72,54,63,2,0
5/21/1980,0,0,77,54,65.5,0,1
5/22/1980,0,0,82,56,69,0,4
5/23/1980,0.41,0,75,62,68.5,0,4
5/24/1980,0.82,0,77,58,67.5,0,3
5/25/1980,0,0,85,61,73,0,8
5/26/1980,0,0,80,58,69,0,4
5/27/1980,0,0,84,55,69.5,0,5
5/28/1980,0,0,89,59,74,0,9
5/29/1980,0,0,88,66,77,0,12
5/30/1980,0.42,0,82,65,73.5,0,9
5/31/1980,0,0,83,64,73.5,0,9
6/1/1980,0,0,81,65,73,0,8
6/2/1980,1.49,0,75,58,66.5,0,2
6/3/1980,1.29,0,75,60,67.5,0,3
6/4/1980,0,0,72,55,63.5,1,0
6/5/1980,0,0,87,62,74.5,0,10
6/6/1980,0,0,87,68,77.5,0,13
6/7/1980,0,0,89,68,78.5,0,14
6/8/1980,0,0,79,50,64.5,0,0
6/9/1980,0,0,79,54,66.5,0,2
6/10/1980,0,0,70,52,61,4,0
6/11/1980,0,0,76,47,61.5,3,0
6/12/1980,0,0,81,53,67,0,2
6/13/1980,0,0,82,55,68.5,0,4
6/14/1980,0,0,89,65,77,0,12
6/15/1980,0.52,0,79,53,66,0,1
6/16/1980,0.14,0,69,50,59.5,5,0
6/17/1980,0,0,74,44,59,6,0
6/18/1980,0,0,81,53,67,0,2
6/19/1980,0,0,84,52,68,0,3
6/20/1980,0.01,0,77,47,62,3,0
6/21/1980,0,0,82,52,67,0,2
6/22/1980,0,0,87,57,72,0,7
6/23/1980,0.05,0,73,65,69,0,4
6/24/1980,0.91,0,83,66,74.5,0,10
6/25/1980,0,0,87,66,76.5,0,12
6/26/1980,0,0,89,69,79,0,14
6/27/1980,0,0,91,72,81.5,0,17
6/28/1980,0.21,0,77,67,72,0,7
6/29/1980,0,0,84,63,73.5,0,9
6/30/1980,0,0,79,58,68.5,0,4
7/1/1980,0,0,91,60,75.5,0,11
7/2/1980,0,0,87,66,76.5,0,12
7/3/1980,0,0,83,63,73,0,8
7/4/1980,0.06,0,88,69,78.5,0,14
7/5/1980,0.37,0,89,68,78.5,0,14
7/6/1980,0,0,87,60,73.5,0,9
7/7/1980,0,0,95,68,81.5,0,17
7/8/1980,0,0,97,75,86,0,21
7/9/1980,0,0,92,71,81.5,0,17
7/10/1980,0,0,91,72,81.5,0,17
7/11/1980,0,0,92,69,80.5,0,16
7/12/1980,0,0,97,74,85.5,0,21
7/13/1980,0,0,91,67,79,0,14
7/14/1980,0,0,96,68,82,0,17
7/15/1980,0,0,99,78,88.5,0,24
7/16/1980,0,0,97,75,86,0,21
7/17/1980,0,0,93,68,80.5,0,16
7/18/1980,0.01,0,92,67,79.5,0,15
7/19/1980,0,0,100,70,85,0,20
7/20/1980,0,0,99,69,84,0,19
7/21/1980,0.02,0,88,70,79,0,14
7/22/1980,0,0,86,64,75,0,10
7/23/1980,0,0,83,59,71,0,6
7/24/1980,0,0,85,58,71.5,0,7
7/25/1980,0,0,87,60,73.5,0,9
7/26/1980,0.22,0,89,64,76.5,0,12
7/27/1980,0.67,0,70,66,68,0,3
7/28/1980,0,0,82,62,72,0,7
7/29/1980,0,0,87,60,73.5,0,9
7/30/1980,0,0,90,63,76.5,0,12
7/31/1980,0.01,0,92,75,83.5,0,19
8/1/1980,0.01,0,91,72,81.5,0,17
8/2/1980,0.09,0,83,68,75.5,0,11
8/3/1980,0,0,86,65,75.5,0,11
8/4/1980,0.12,0,92,62,77,0,12
8/5/1980,0.01,0,83,68,75.5,0,11
8/6/1980,0.01,0,91,67,79,0,14
